Sample Number,PH,Hardness,Conductivity,Trihalomethanes,Turbidity,Original Potability,Potable by WHO Standards,TestOrTrain,SVM Potability,SVM Test Score,Test/Train for LogReg,Logistic Regression Potability,LogReg Test Score,Test/Train for RanFor,Random Forrest Probability,RanFor Test Score
24,6.95,209.64,391.18,87.39,3.2,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
25,10.68,173.38,323.81,78.47,4.0,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
26,8.76,200.19,404.72,47.93,3.63,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
27,7.81,100.46,605.22,66.08,2.45,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
28,6.65,145.01,545.97,71.73,3.74,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
29,9.15,211.71,527.71,47.63,3.79,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
30,10.56,181.89,456.56,34.25,3.96,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
31,8.52,238.34,481.32,39.09,3.94,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
32,5.0,190.29,405.33,99.43,4.46,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
33,3.91,233.4,269.45,63.74,3.9,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
34,6.39,213.02,369.34,17.92,3.92,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
35,5.06,238.57,669.73,76.52,5.11,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
36,7.26,179.89,501.18,50.99,3.64,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
37,7.16,183.09,428.04,90.04,3.88,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
38,5.7,116.3,504.38,48.15,4.16,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
39,6.22,130.94,556.65,57.9,5.33,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
40,3.51,158.73,307.38,79.85,3.76,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
41,3.72,163.64,467.56,50.58,3.66,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
42,6.46,176.68,477.58,57.73,2.29,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
43,7.32,217.52,425.91,69.51,3.51,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
44,7.41,204.96,504.15,81.11,3.77,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
45,5.98,258.95,514.12,82.47,2.99,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
46,6.4,133.83,573.4,95.03,4.19,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
47,6.76,232.08,465.41,64.81,4.92,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
48,9.92,199.18,430.51,59.29,3.39,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
49,10.16,300.29,487.46,67.92,5.0,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
50,8.72,206.37,506.94,42.38,2.56,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
51,9.03,253.22,588.32,59.12,2.02,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
52,6.95,203.15,551.14,55.96,3.65,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
53,6.14,197.88,548.07,41.26,5.36,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
54,7.08,220.67,333.05,90.3,4.76,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
55,5.49,135.8,441.33,88.29,5.07,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
56,7.21,120.33,418.43,63.73,3.71,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
57,9.18,163.27,426.99,62.43,3.11,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
58,4.27,166.84,349.52,54.47,3.76,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
59,8.53,175.61,474.24,52.37,5.08,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
60,8.49,204.12,435.0,62.42,3.88,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
61,8.86,254.62,344.3,78.11,5.53,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
62,6.1,190.0,245.86,73.42,3.98,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
63,8.42,185.72,463.65,48.78,3.96,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
64,7.88,226.28,445.37,63.13,4.24,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
65,7.73,252.27,339.41,60.48,3.72,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
66,3.39,212.03,353.91,82.39,2.8,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
67,7.18,261.85,290.42,82.03,4.6,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
68,10.11,240.43,403.04,61.11,3.43,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
69,6.88,136.88,342.2,81.19,3.83,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
70,8.55,231.25,432.29,73.15,3.77,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
71,10.31,217.22,382.95,59.58,3.29,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
72,7.37,207.72,363.17,67.72,4.41,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
73,6.51,202.29,481.77,46.21,3.55,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
74,6.64,151.89,437.91,64.2,3.81,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
75,5.03,155.32,500.64,63.19,3.24,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
76,6.91,155.74,439.65,55.51,2.61,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
77,7.98,245.9,473.66,23.82,3.55,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
78,6.08,197.5,360.06,41.87,4.2,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
79,6.24,191.91,448.24,60.94,4.51,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
80,6.06,160.77,327.27,69.04,3.47,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
81,8.13,177.9,397.02,81.39,3.36,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
82,9.56,202.01,433.38,63.55,3.76,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
83,8.17,200.91,525.6,66.23,4.29,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
84,6.83,187.05,373.43,58.75,3.03,False,True,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
85,7.86,204.27,469.49,86.17,4.16,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
86,4.97,220.85,386.41,53.91,3.42,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
87,6.21,192.94,533.8,60.49,3.55,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
88,9.77,264.27,353.2,52.65,4.64,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
89,9.63,152.86,417.17,90.0,4.92,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
90,7.63,199.65,420.53,100.24,2.93,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
91,5.77,155.05,313.7,85.69,4.69,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
92,6.58,197.23,254.39,73.75,4.58,False,True,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
93,4.8,180.77,587.4,62.03,4.42,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
94,6.91,216.79,356.46,61.12,2.12,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
95,7.73,233.95,472.26,36.58,3.72,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
96,8.93,241.88,380.2,75.86,4.6,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
97,6.21,153.22,481.2,62.72,4.33,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
98,6.13,141.49,415.01,50.69,4.63,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
99,7.31,274.7,415.61,68.94,3.7,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
100,8.64,201.57,309.98,68.66,5.26,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
101,8.15,127.14,487.91,90.62,2.91,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
102,8.29,206.16,399.48,79.95,3.95,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
103,7.83,190.8,507.45,85.01,4.59,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
104,4.43,139.69,434.78,63.04,4.38,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
105,7.24,201.19,579.22,62.65,3.56,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
106,6.87,174.18,484.12,65.3,3.82,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
107,6.13,200.28,341.39,79.55,4.62,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
108,7.92,278.06,358.78,56.84,3.66,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
109,6.51,181.87,475.34,52.44,4.85,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
110,5.32,232.37,580.9,55.31,2.88,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
111,6.77,168.94,289.54,62.0,5.22,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
112,5.88,141.62,538.5,67.91,4.03,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
113,6.34,225.03,435.5,80.67,3.69,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
114,5.65,146.59,272.44,87.82,5.2,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
115,6.63,112.3,327.25,85.79,4.19,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
116,7.79,176.87,371.22,76.29,4.17,False,True,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
117,7.36,185.69,419.26,64.68,4.41,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
118,9.32,129.82,499.84,82.84,4.21,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
119,3.72,248.86,427.5,38.6,2.72,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
120,9.87,214.17,424.29,70.07,3.36,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
121,4.13,125.47,445.24,86.43,4.46,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
122,5.97,230.45,327.79,39.55,5.43,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
123,8.37,183.5,493.47,87.03,3.63,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
124,7.9,154.27,407.73,63.02,4.24,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
125,7.95,269.81,425.63,56.64,3.7,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
126,10.03,224.27,517.51,65.36,4.18,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
127,6.49,225.48,324.51,97.11,4.59,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
128,5.87,207.73,465.62,77.82,4.69,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
129,5.3,160.97,497.79,61.12,4.17,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
130,7.09,189.15,400.9,63.9,3.42,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
131,7.96,276.73,514.42,60.56,3.45,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
132,8.88,228.92,474.77,52.58,4.01,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
133,6.61,141.13,374.77,74.3,3.54,False,True,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
134,7.74,137.32,595.33,63.04,2.15,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
135,9.93,238.71,405.9,59.46,4.7,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
136,9.0,202.99,366.49,55.7,4.9,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
137,5.1,273.41,513.88,61.43,4.35,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
138,8.59,263.76,588.85,86.19,4.75,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
139,7.08,112.82,434.75,94.16,3.89,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
140,7.68,180.7,469.84,61.8,3.78,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
141,4.44,178.96,429.54,56.35,3.27,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
142,6.98,183.24,470.08,66.0,4.77,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
143,6.62,203.03,410.24,65.02,2.92,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
144,3.66,201.1,291.15,75.1,3.32,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
145,4.81,205.21,414.03,47.4,5.19,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
146,7.44,208.09,522.79,65.31,3.73,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
147,4.72,252.27,411.3,66.73,3.92,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
148,9.38,265.06,503.17,99.02,4.03,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
149,7.81,187.32,351.19,68.49,4.03,False,True,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
150,9.41,216.76,347.98,32.11,3.1,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
151,6.32,207.26,491.77,74.5,4.5,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
152,6.58,272.98,351.48,79.26,4.2,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
153,6.76,231.26,385.11,79.3,5.16,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
154,9.45,145.81,592.66,77.58,3.88,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
155,9.02,128.1,451.14,73.78,3.99,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
156,6.8,242.01,376.46,73.78,3.85,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
157,7.17,203.41,315.55,74.41,3.94,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
158,7.66,236.96,416.62,85.85,2.44,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
159,8.32,207.25,358.73,60.91,4.05,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
160,9.8,98.77,512.43,59.45,2.76,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
161,6.1,215.27,417.84,62.51,3.54,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
162,5.0,280.08,297.61,70.56,3.4,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
163,4.82,217.69,481.48,77.69,4.38,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
164,6.55,278.59,497.32,79.32,3.61,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
165,6.62,233.66,401.67,73.19,4.44,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
166,7.79,212.69,359.57,83.86,3.37,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
167,5.19,211.09,388.72,83.51,3.86,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
168,6.87,251.29,539.47,56.41,4.73,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
169,9.06,155.36,463.39,83.18,3.65,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
170,7.29,127.54,439.65,59.56,5.33,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
171,7.28,175.22,373.35,56.8,5.06,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
172,6.51,229.26,479.5,66.67,4.61,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
173,7.21,175.87,468.56,71.15,3.76,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
174,5.32,280.09,392.42,55.08,4.43,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
175,7.08,169.47,353.03,30.39,3.49,True,True,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
176,10.76,81.71,392.7,52.25,4.66,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
177,6.29,258.3,563.43,73.52,4.1,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
178,9.79,129.87,427.12,78.71,2.95,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
179,8.21,167.1,391.07,61.06,4.98,True,True,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
180,10.36,136.32,365.72,77.36,4.2,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
181,7.96,171.48,327.62,107.75,4.7,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
182,6.55,198.81,477.16,78.17,4.69,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
183,7.63,156.79,495.97,65.6,4.18,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
184,4.79,268.72,608.85,83.7,3.26,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
185,7.71,181.94,516.28,58.24,4.29,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
186,8.29,211.22,475.91,66.61,3.42,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
187,9.03,121.44,390.66,63.13,4.93,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
188,7.13,178.37,323.3,69.16,3.42,True,True,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
189,8.08,195.8,321.75,72.73,3.68,True,True,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
190,10.05,132.83,442.77,92.18,5.13,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
191,5.67,229.93,554.12,54.44,3.63,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
192,6.8,187.78,498.67,55.4,5.16,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
193,10.04,113.83,557.49,75.23,3.81,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
194,7.3,235.74,385.61,89.62,4.17,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
195,5.86,185.07,331.57,59.61,5.51,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
196,7.29,174.48,435.11,81.69,4.47,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
197,7.82,157.18,294.64,72.57,3.53,True,True,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
198,11.3,77.46,410.86,53.12,3.31,True,False,Test,True,0.6705298013245033,Test,True,0.6705298013245033,Test,True,0.6705298013245033
199,9.16,119.84,379.73,54.58,4.89,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
200,7.8,188.39,507.18,85.18,4.11,True,False,Train,True,0.6705298013245033,Train,True,0.6705298013245033,Train,True,0.6705298013245033
