ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,SampleNumber,ph_rank,Hardness_rank,Solids_rank,Chloramines_rank,Sulfate_rank,Conductivity_rank,Organic_carbon_rank,Trihalomethanes_rank,Turbidity_rank,Average_Rank,Average_Rank_2,Hardness_Safe,ph_safe,Solids_safe,Chloramines_safe,Sulfate_safe,Conductivity_safe,Organic_carbon_safe,Trihalomethanes_safe,Turbidity_safe,Hardness_Safe_qty,ph_safe_qty,Solids_safe_qty,Chloramines_safe_qty,Sulfate_safe_qty,Conductivity_safe_qty,Organic_carbon_safe_qty,Trihalomethanes_safe_qty,Turbidity_safe_qty,Hardness_Safe_pct,ph_safe_pct,Solids_safe_pct,Chloramines_safe_pct,Sulfate_safe_pct,Conductivity_safe_pct,Organic_carbon_safe_pct,Trihalomethanes_safe_pct,Turbidity_safe_pct
7.09,189.15,4304.49,3.62,259.37,400.9,12.99,63.9,3.42,0,216,1427.0,189.15,18,56,94.0,1329,1161,1353.0,784,590.0,21,True,True,False,True,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.35,239.82,17177.79,6.11,272.84,294.88,10.6,62.85,3.51,0,3085,2245.0,239.82,1048,802,154.0,136,411,1265.0,915,592.0,22,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.95,209.64,10575.19,4.46,315.61,391.18,13.29,87.39,3.2,0,46,1323.0,209.64,233,159,782.0,1173,1259,2840.0,539,595.0,23,False,True,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.74,179.41,9694.35,6.58,368.5,323.74,13.93,85.78,2.84,0,537,2391.0,179.41,178,1173,2009.0,310,1505,2779.0,240,598.0,24,True,False,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.32,212.71,15751.18,5.5,296.85,399.77,10.62,74.55,3.01,0,1002,2566.0,212.71,830,452,415.0,1309,417,2156.0,367,598.0,25,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.13,173.69,19309.57,6.53,372.54,295.39,7.27,88.79,3.4,0,2133,1455.0,173.69,1374,1139,2072.0,140,53,2872.0,757,606.0,26,True,True,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
5.42,205.27,18542.96,5.49,306.7,382.08,10.5,67.49,2.91,1,1126,382.0,205.27,1267,447,606.0,1039,393,1630.0,291,607.0,27,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.24,198.21,11451.31,5.31,309.33,401.06,13.24,81.2,2.78,0,913,2183.0,198.21,290,380,652.0,1332,1239,2568.0,210,608.0,28,True,True,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.25,236.1,12855.35,5.78,276.29,329.92,12.61,55.62,3.57,1,2773,2547.0,236.1,443,597,187.0,381,1021,765.0,989,611.0,30,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
5.61,216.12,14825.93,7.0,355.21,330.09,9.78,41.25,3.22,1,3216,462.0,216.12,701,1528,1779.0,387,282,194.0,565,613.0,31,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.05,198.99,9025.08,7.22,338.4,328.43,9.14,42.75,3.63,1,353,2083.0,198.99,141,1711,1403.0,367,205,232.0,1087,618.0,33,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.48,186.07,13781.78,4.65,377.34,323.77,11.69,66.29,4.04,1,744,1706.0,186.07,573,189,2150.0,311,700,1539.0,1764,621.0,36,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.59,233.73,7263.06,6.95,268.97,258.88,8.99,41.93,4.04,1,777,2339.0,233.73,66,1494,138.0,18,184,211.0,1766,627.0,38,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.79,209.13,20149.18,5.8,288.36,291.3,12.33,57.3,3.08,0,1661,1195.0,209.13,1520,609,312.0,116,910,855.0,431,633.0,39,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
10.68,173.38,15758.74,5.57,307.35,323.81,10.09,78.47,4.0,0,47,2747.0,173.38,832,485,613.0,314,325,2418.0,1706,639.0,40,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.66,236.96,14245.79,6.29,373.17,416.62,10.46,85.85,2.44,1,255,1817.0,236.96,627,946,2084.0,1557,390,2784.0,85,640.0,41,False,True,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.16,183.09,6743.35,3.8,277.6,428.04,9.8,90.04,3.88,0,70,1480.0,183.09,52,72,200.0,1730,285,2908.0,1520,640.0,42,True,True,False,True,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
5.89,139.36,11006.05,5.31,339.33,446.49,10.57,89.69,3.31,1,1972,585.0,139.36,255,383,1430.0,2010,405,2896.0,664,643.0,43,True,False,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.85,197.78,20129.36,5.18,329.5,356.48,11.88,45.71,2.99,0,2594,2432.0,197.78,1515,329,1168.0,704,767,310.0,353,644.0,44,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.44,183.36,17259.85,4.61,335.63,453.0,9.7,80.54,2.5,0,835,1674.0,183.36,1059,181,1324.0,2096,271,2535.0,99,648.0,46,True,True,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.79,241.72,9094.31,6.44,338.52,361.11,14.5,45.43,1.92,1,3241,1200.0,241.72,147,1061,1409.0,764,1749,299.0,14,663.0,48,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.58,186.6,20590.71,3.92,366.13,384.31,10.0,66.69,3.39,1,754,2338.0,186.6,1605,83,1967.0,1074,309,1568.0,743,667.0,50,True,False,False,True,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
5.57,229.17,15613.16,4.16,383.48,409.07,10.75,63.76,3.6,0,2246,438.0,229.17,813,110,2218.0,1442,452,1341.0,1034,680.0,53,False,False,False,False,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.04,200.64,12999.14,6.7,356.87,394.02,11.1,43.63,3.02,0,3030,2080.0,200.64,464,1279,1819.0,1220,548,258.0,372,681.0,54,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.76,196.78,19024.69,6.91,392.8,338.43,10.77,76.62,2.73,0,1323,1886.0,196.78,1332,1463,2306.0,473,456,2290.0,180,683.0,55,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.22,189.34,15155.55,6.82,306.89,297.76,11.96,81.39,3.49,0,2287,782.0,189.34,750,1381,609.0,154,783,2579.0,888,691.0,57,True,False,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.35,206.27,18409.04,3.72,348.21,389.68,13.21,60.29,2.86,0,463,870.0,206.27,1243,68,1625.0,1157,1227,1062.0,250,692.0,59,False,False,False,True,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.77,173.19,13736.34,6.98,359.81,356.0,11.52,39.55,3.21,0,1063,1894.0,173.19,564,1515,1869.0,696,651,156.0,556,693.0,60,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
10.02,210.13,9064.04,7.2,363.56,324.65,10.21,92.64,3.85,1,663,2683.0,210.13,144,1694,1931.0,324,339,2970.0,1459,695.0,62,False,False,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.37,185.04,14151.76,5.58,324.57,336.96,15.23,50.0,3.05,0,966,1617.0,185.04,618,491,1032.0,456,2023,475.0,401,696.0,64,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.87,182.65,25337.12,3.72,362.48,315.19,12.13,65.5,3.31,0,2706,1969.0,182.65,2216,67,1918.0,254,843,1479.0,656,703.0,66,True,True,False,True,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.63,186.64,13688.07,6.29,254.36,392.71,12.39,53.15,3.07,1,2785,2352.0,186.64,554,945,72.0,1197,936,629.0,414,705.0,67,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.63,195.7,21495.54,6.55,363.69,335.8,11.4,66.17,2.53,0,1315,1066.0,195.7,1714,1151,1933.0,443,626,1530.0,111,707.0,68,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
3.91,152.82,17857.72,7.36,324.38,342.41,7.64,75.2,3.2,0,2107,70.0,152.82,1152,1844,1025.0,519,64,2199.0,545,713.0,71,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.41,196.45,17465.35,6.31,355.16,300.93,13.18,80.6,3.29,0,2676,1659.0,196.45,1095,967,1778.0,169,1217,2540.0,635,713.0,72,True,True,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.68,238.51,26132.21,6.3,309.24,326.03,8.14,46.09,2.96,0,464,1107.0,238.51,2317,962,650.0,338,109,323.0,332,716.0,74,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
4.92,208.41,15990.15,5.65,349.66,404.41,11.4,84.53,3.33,1,1142,230.0,208.41,874,526,1653.0,1384,628,2722.0,682,717.0,76,False,False,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.19,249.53,12682.15,6.25,263.27,274.76,14.35,57.62,3.55,0,1839,764.0,249.53,418,924,111.0,45,1699,868.0,970,718.0,77,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.66,199.59,15902.95,5.26,346.58,347.35,15.99,61.16,2.23,1,392,1101.0,199.59,855,359,1590.0,572,2277,1136.0,45,718.0,78,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.74,166.95,13623.16,7.24,385.06,369.59,12.32,68.51,2.57,1,384,2638.0,166.95,542,1728,2237.0,869,908,1707.0,120,722.0,80,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.58,197.23,17657.08,4.51,290.29,254.39,9.85,73.75,4.58,0,152,1022.0,197.23,1128,166,331.0,13,290,2100.0,2549,724.0,81,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.81,100.46,12013.55,5.21,247.2,605.22,9.61,66.08,2.45,0,51,1926.0,100.46,357,342,52.0,3224,253,1523.0,89,728.0,85,True,True,False,False,True,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.7,230.77,9727.76,5.94,223.24,405.76,12.83,74.39,3.42,1,680,1119.0,230.77,181,694,17.0,1405,1097,2144.0,792,733.0,87,False,True,False,False,True,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.13,184.68,10418.11,6.85,388.07,371.48,10.44,68.18,3.76,0,1249,2515.0,184.68,219,1410,2266.0,897,384,1681.0,1306,733.0,88,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.62,204.87,8403.28,6.01,418.31,311.18,12.74,67.28,4.24,0,1401,1797.0,204.87,106,731,2434.0,227,1065,1612.0,2081,736.0,89,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.67,210.0,22993.73,5.54,343.49,417.74,7.75,63.55,2.71,0,658,1820.0,210.0,1934,471,1532.0,1574,74,1318.0,171,739.0,92,False,True,False,False,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
5.8,193.2,19451.77,4.15,255.98,365.48,14.92,8.58,2.18,1,1123,551.0,193.2,1393,108,76.0,815,1896,3.0,36,740.0,93,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.04,201.81,11861.55,7.2,300.4,420.55,7.17,90.76,3.22,0,1709,2079.0,201.81,338,1696,485.0,1619,51,2925.0,562,745.0,97,False,True,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
4.83,234.78,11142.39,6.44,370.42,370.19,13.05,46.32,3.46,1,3251,200.0,234.78,263,1066,2046.0,877,1179,332.0,851,745.0,98,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.91,216.79,19991.24,7.3,340.11,356.46,9.61,61.12,2.12,0,155,1282.0,216.79,1486,1796,1442.0,703,255,1129.0,32,748.0,102,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.52,208.13,16446.33,6.73,372.5,346.37,12.0,80.76,3.36,0,1260,2305.0,208.13,935,1302,2071.0,564,800,2552.0,711,753.0,104,False,False,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.77,203.75,21162.73,5.23,251.06,334.91,13.21,79.86,3.3,1,1076,1171.0,203.75,1671,353,59.0,434,1228,2505.0,649,756.0,107,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.15,127.14,10280.93,5.83,267.64,487.91,11.94,90.62,2.91,0,169,2141.0,127.14,212,625,132.0,2527,779,2923.0,286,759.0,108,True,True,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.53,248.58,22372.3,2.99,366.15,341.76,14.69,78.71,2.54,0,454,2313.0,248.58,1840,26,1968.0,512,1818,2430.0,113,760.0,109,False,False,False,True,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.46,225.4,12224.62,2.98,387.1,485.7,13.2,62.3,2.85,0,437,2589.0,225.4,377,25,2253.0,2501,1226,1215.0,247,767.0,110,False,False,False,True,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.31,158.71,23154.06,4.14,276.55,436.52,10.89,87.91,2.22,1,1193,1584.0,158.71,1963,106,189.0,1861,491,2853.0,43,770.0,111,True,True,False,False,False,False,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
10.33,166.46,15824.82,6.4,361.16,376.1,13.84,52.06,2.67,0,2997,2720.0,166.46,844,1041,1896.0,958,1473,560.0,161,774.0,114,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.37,183.79,11619.71,6.04,343.83,362.78,16.64,73.26,2.61,0,1431,881.0,183.79,314,748,1542.0,779,2490,2072.0,138,775.0,116,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.04,227.03,12988.79,8.48,392.38,306.39,7.12,41.19,3.59,1,1634,665.0,227.03,462,2687,2302.0,200,49,193.0,1029,776.0,117,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.64,191.92,10220.71,6.68,380.36,421.42,12.24,65.18,3.15,1,3181,1077.0,191.92,211,1266,2191.0,1633,873,1450.0,488,777.0,119,True,True,False,False,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.72,208.44,17248.62,7.69,286.4,269.01,11.76,56.88,3.22,1,690,1858.0,208.44,1055,2130,289.0,32,713,830.0,564,784.0,121,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.55,194.28,7412.8,5.84,354.82,361.04,11.67,57.32,4.42,1,1974,1001.0,194.28,70,628,1772.0,762,694,857.0,2361,785.0,124,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.35,252.15,13137.49,6.17,320.32,349.82,13.11,58.8,3.78,0,2487,2570.0,252.15,477,847,907.0,605,1194,941.0,1338,786.0,125,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.49,224.81,26807.12,3.27,319.07,382.88,10.67,63.73,3.25,1,2448,959.0,224.81,2391,37,875.0,1049,430,1336.0,587,786.0,126,False,False,False,True,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.07,198.87,18266.62,6.9,396.62,376.71,10.92,87.38,3.06,0,1336,2095.0,198.87,1219,1449,2339.0,970,495,2838.0,406,790.0,127,True,True,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.98,223.28,20287.36,5.27,282.09,377.0,14.05,67.63,2.37,1,1512,1347.0,223.28,1547,366,241.0,973,1564,1640.0,67,790.0,128,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
4.33,155.83,13351.41,8.6,321.79,387.52,7.81,77.88,2.61,0,2702,124.0,155.83,502,2752,945.0,1119,80,2381.0,137,791.0,129,True,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.79,306.63,28508.22,6.81,293.08,306.12,9.01,60.91,2.51,1,1490,1199.0,306.63,2580,1373,358.0,197,189,1107.0,103,791.0,131,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
5.92,274.26,6967.74,10.07,247.65,321.24,12.09,39.45,2.59,0,1669,606.0,274.26,58,3182,54.0,294,831,152.0,127,794.0,132,False,False,False,False,True,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.01,225.08,5100.09,7.45,336.12,325.13,11.08,36.34,4.01,1,3255,650.0,225.08,29,1924,1343.0,329,535,119.0,1728,795.0,133,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.25,167.39,17617.88,7.04,323.4,277.41,12.49,61.28,3.5,1,1610,2196.0,167.39,1119,1562,994.0,53,977,1146.0,893,795.0,134,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.93,217.77,19026.02,3.12,317.07,448.23,12.94,76.82,2.01,1,2326,1308.0,217.77,1333,29,819.0,2040,1148,2301.0,24,799.0,137,False,True,False,True,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.43,202.94,20920.25,5.53,338.58,332.61,12.81,75.1,3.57,0,575,919.0,202.94,1637,463,1410.0,412,1085,2192.0,993,799.0,138,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
10.28,249.32,23259.01,3.33,284.41,468.87,5.19,67.62,2.84,0,2082,2715.0,249.32,1973,43,268.0,2277,10,1638.0,242,799.0,139,False,False,False,True,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
